종목코드,종목명,개인_순매수거래량,개인_순매수거래대금,기관_순매수거래량,기관_순매수거래대금,외국인_순매수거래량,외국인_순매수거래대금,기타법인_순매수거래량,기타법인_순매수거래대금,종가,등락률,거래대금
001510,SK증권,-579452,-1387154083,-5018.0,-11895135.0,574690.0,1374842159.0,5867.0,14339840.0,2400,-1.23,7468369466
001515,SK증권우,500,2150000,,,,,-500.0,-2150000.0,4200,-2.33,20449580
001520,동양,26008,27805452,-1041.0,-1110631.0,-24967.0,-26694821.0,,,1066,1.81,105773206
001525,동양우,0,0,,,,,0.0,0.0,8670,0.0,999410
001527,동양2우B,0,0,,,0.0,0.0,,,5920,-3.9,2665550
001530,DI동일,5527,150950950,1007.0,27889750.0,-7312.0,-199548650.0,928.0,24761250.0,26850,-4.28,777433550
001550,조비,-10336,-117368605,-8.0,-97400.0,10190.0,115697675.0,-172.0,-1954590.0,11290,-0.18,933116460
001560,제일연마,219,1997380,-236.0,-2153150.0,17.0,155770.0,0.0,0.0,9170,0.99,238619380
001620,케이비아이동국실업,347,755630,25.0,69250.0,-372.0,-824880.0,,,2215,0.68,17020360
001630,종근당홀딩스,386,15106450,-20.0,-727700.0,-366.0,-14378750.0,0.0,0.0,38900,-0.51,118618650
001680,대상,-92421,-1760227140,38232.0,730159465.0,46628.0,885708325.0,7562.0,144378550.0,19050,2.58,4777273485
001685,대상우,-539,-8054520,-1.0,-14760.0,54.0,814040.0,2360.0,34997910.0,14690,0.07,89505890
001720,신영증권,378,55770600,-303.0,-45096200.0,-63.0,-8850100.0,0.0,0.0,149500,-0.99,759210500
001740,SK네트웍스,-92808,-592670835,-14089.0,-89894710.0,106331.0,678914595.0,952.0,6063210.0,6390,2.4,6935021060
001750,한양증권,5162,100728380,-7.0,-136220.0,-5204.0,-101546660.0,-1.0,-19490.0,19490,-0.05,141072770
001755,한양증권우,9425,182964740,,,-9425.0,-182964740.0,,,19490,1.04,202417330
001770,SHD,-3779,-56948410,,,226.0,2728920.0,4883.0,73038460.0,15100,2.37,403666480
001780,알루코,35805,57630242,-229.0,-368919.0,-35630.0,-57347755.0,0.0,0.0,1611,1.19,363944532
001790,대한제당,-35712,-103346758,88417.0,255021266.0,-52705.0,-151674508.0,0.0,0.0,2880,-0.17,424895338
001795,대한제당우,248,544060,,,-275.0,-603055.0,,,2185,0.69,26159280
001800,오리온홀딩스,17940,454231325,-9900.0,-250709075.0,-10579.0,-267616800.0,2509.0,63335550.0,25300,-0.98,1677578250
001820,삼화콘덴서,55856,6358625250,-51618.0,-5499419050.0,-2482.0,-665139900.0,-2305.0,-255190900.0,105000,-5.83,50704329800
001940,KISCO홀딩스,-2107,-58004050,1753.0,48145500.0,518.0,14384950.0,-164.0,-4526400.0,27450,0.73,130686250
002020,코오롱,1874,46460800,-855.0,-21425650.0,-1050.0,-25805500.0,31.0,770350.0,25250,0.6,407854350
002025,코오롱우,310,4063290,0.0,70.0,-322.0,-4220150.0,12.0,156790.0,13300,-0.6,12506300
002030,아세아,67,13688000,239.0,49854000.0,-306.0,-63542000.0,0.0,0.0,206500,-0.48,428941500
